Configuration,TrueModelUpDown,TrueLocationP,TrueLocationQ,P0,Q0,P1,Q1,P2,Q2,P3,Q3,P4,Q4,P5,Q5,P6,Q6,P7,Q7,P8,Q8,P9,Q9
2,0,386,350,287,325,388,180,285,370,288,339,585,234,417,351,322,322,442,171,422,431,278,430
3,0,400,305,464,218,350,304,339,209,413,343,378,264,439,252,463,406,490,437,332,390,341,476
3,0,400,265,501,176,457,221,384,149,394,127,350,343,464,123,357,283,275,517,495,111,263,229
3,0,400,307,434,316,294,257,368,410,451,287,518,171,412,242,339,368,287,363,229,535,452,380
3,0,400,334,330,165,370,306,264,411,413,190,267,332,501,375,376,402,408,243,249,360,422,282
2,0,381,350,392,495,302,412,254,184,517,293,340,259,300,226,427,423,372,364,312,277,252,240
2,0,404,350,320,456,389,366,718,331,426,274,420,272,417,254,184,322,308,183,268,533,398,286
3,0,400,319,438,504,409,260,305,295,434,365,348,313,463,523,396,276,424,249,304,421,344,413
2,1,400,529,186,590,323,710,551,436,234,527,455,477,335,543,243,535,488,535,263,463,251,454
2,0,449,350,331,292,509,392,467,352,415,301,384,113,421,383,497,390,361,299,480,254,473,482
2,1,400,487,368,582,580,574,437,523,265,565,246,339,380,492,378,550,497,473,289,349,374,481
3,1,397,450,465,376,354,352,456,569,288,340,342,353,442,368,304,519,380,465,544,421,285,471
3,1,400,450,419,434,528,500,282,542,388,391,442,374,287,530,510,422,452,698,238,395,362,519
3,1,370,450,399,526,477,635,353,316,410,529,195,400,432,358,405,472,409,415,517,525,423,396
2,1,400,478,566,564,230,485,266,588,248,262,614,520,330,478,369,400,450,583,500,474,350,541
2,0,437,350,388,331,437,351,533,431,652,166,614,211,530,341,431,339,292,273,236,364,486,283
3,1,434,450,487,371,439,497,534,523,511,583,389,326,305,298,380,382,454,272,315,419,533,350
3,0,400,283,412,132,402,132,568,508,502,306,314,395,618,230,458,298,268,109,280,137,447,307
3,0,400,331,480,314,525,353,288,322,407,158,365,310,287,114,454,312,307,329,268,406,299,360
2,1,400,524,491,527,454,768,519,390,439,487,508,393,438,523,319,641,515,560,267,474,405,343
2,0,441,350,395,390,493,361,441,371,366,517,656,320,472,257,432,391,418,406,635,399,455,430
2,0,444,350,519,417,547,224,622,348,473,212,555,242,449,477,296,361,485,369,413,416,400,431
2,1,400,519,312,554,412,365,305,588,431,562,229,531,673,530,260,579,481,631,522,599,152,671
3,0,400,272,427,311,352,368,370,313,418,188,544,347,458,199,546,191,449,285,345,301,513,89
3,0,400,263,324,329,326,464,279,218,527,315,412,242,358,180,287,313,314,129,573,278,359,305
3,0,400,304,478,324,438,382,534,361,514,293,323,436,340,286,343,335,260,237,448,506,504,365
2,0,395,350,415,367,286,395,241,491,272,362,687,268,486,256,470,344,386,257,644,428,461,188
3,1,434,450,359,497,368,385,352,408,548,520,547,639,479,528,562,324,425,482,436,756,540,428
3,0,400,287,468,357,401,264,344,386,417,288,264,335,489,132,454,87,450,84,477,438,188,212
3,0,400,266,311,209,549,339,462,354,458,486,399,190,399,223,377,259,258,259,412,352,402,320
2,1,400,540,447,593,473,420,369,528,529,352,277,373,334,563,455,619,272,590,319,367,288,538
3,0,400,311,430,383,479,204,508,180,625,368,543,216,485,188,335,223,273,329,444,189,231,534
2,1,400,477,404,432,240,416,459,492,683,509,455,438,403,265,282,440,336,506,491,543,656,358
2,1,400,546,499,494,442,540,395,520,493,516,516,562,293,660,579,527,218,465,325,405,464,583
2,0,379,350,352,482,218,190,429,177,353,412,274,435,378,325,390,507,195,246,421,286,333,361
2,1,400,479,131,632,154,361,354,536,260,342,436,363,411,381,384,256,402,319,249,578,347,617
3,0,400,340,297,336,520,368,360,269,721,303,392,288,428,364,572,283,484,286,520,230,272,308
2,1,400,454,440,389,452,341,410,448,514,338,310,418,199,515,244,420,335,567,445,538,542,413
3,0,400,302,356,313,616,302,410,420,400,253,376,257,475,154,492,373,595,285,526,333,372,271
2,1,400,539,390,534,408,354,391,566,578,492,379,472,383,474,390,474,513,626,636,560,367,527
3,1,400,450,345,468,382,449,428,521,528,433,487,622,286,500,456,308,507,366,517,467,291,476
2,1,400,548,360,490,297,537,388,436,585,689,363,514,275,683,183,500,409,505,332,532,325,562
3,0,400,301,458,429,356,183,554,300,456,144,365,262,527,528,441,396,403,342,408,189,334,250
3,0,400,304,308,333,309,374,501,431,441,342,487,185,493,405,461,222,624,381,502,226,445,315
2,0,406,350,376,272,245,422,521,297,484,340,352,231,255,515,502,573,535,211,476,275,146,412
2,1,400,486,416,519,303,451,396,477,324,387,483,629,278,479,274,471,466,496,443,544,432,702
3,1,415,450,349,499,441,334,402,612,274,282,465,427,354,498,256,380,437,467,373,430,417,509
3,0,400,254,441,91,286,221,501,242,292,274,332,319,444,183,395,265,374,422,437,185,454,62
2,1,400,478,505,443,482,451,256,468,533,450,287,436,294,513,580,519,296,498,442,515,356,365
3,0,400,298,480,198,364,363,461,345,574,123,395,282,393,408,208,295,343,335,555,103,417,326
3,1,430,450,277,435,382,382,525,573,367,389,491,357,412,308,424,524,434,475,479,512,608,570
3,0,400,313,489,268,484,358,471,449,259,170,483,418,296,182,376,352,468,251,438,268,423,355
2,1,400,484,317,482,321,421,511,487,187,568,246,490,504,538,343,648,382,391,329,628,357,475
3,0,400,285,404,118,423,292,285,320,369,150,252,116,422,368,344,28,461,364,629,203,192,227
2,0,436,350,431,584,318,226,463,430,599,499,581,420,330,133,369,261,534,469,340,271,466,246
3,0,400,307,480,270,327,161,343,503,601,452,431,276,334,384,435,338,539,348,424,413,215,418
2,1,400,455,336,457,434,504,617,392,454,438,395,703,521,595,174,520,628,534,325,345,423,630
2,0,353,350,315,353,288,522,134,327,286,330,254,308,275,153,433,337,320,252,432,386,401,277
2,1,400,490,225,348,412,515,343,594,517,535,427,598,513,435,302,608,400,468,717,474,502,572
3,0,400,251,594,353,437,307,570,159,257,242,422,238,494,425,354,127,349,146,161,262,511,440
3,1,424,450,329,530,560,412,277,387,701,427,432,575,309,289,296,351,466,329,498,382,452,358
2,0,354,350,481,248,446,295,270,370,128,504,468,192,312,381,375,455,224,514,176,473,539,297
2,1,400,536,477,598,425,450,372,523,443,696,615,252,402,390,449,550,494,625,456,649,471,432
3,0,400,308,272,328,414,190,328,455,371,303,360,192,334,226,469,401,477,224,284,326,218,299
2,1,400,533,280,470,444,399,363,732,388,484,450,678,452,556,359,556,337,329,269,452,342,779
3,1,361,450,426,429,194,408,505,460,383,360,348,447,440,550,339,547,303,300,277,534,421,363
2,0,379,350,331,386,369,305,478,315,467,207,447,324,273,486,334,423,351,298,310,350,390,346
3,1,382,450,393,441,493,687,581,490,321,351,601,421,125,423,463,402,300,347,347,367,230,253
2,1,400,511,537,292,300,513,499,213,276,390,471,340,472,679,434,410,318,571,385,326,468,524
3,1,407,450,429,563,366,475,476,574,392,378,388,365,676,592,621,318,392,602,571,623,435,457
2,1,400,549,364,436,405,592,314,612,419,382,147,547,586,432,474,614,170,513,406,519,510,572
3,0,400,288,278,270,536,51,480,154,496,441,429,260,502,302,561,289,503,387,283,110,499,122
2,0,386,350,586,457,297,188,430,415,351,422,333,314,455,353,453,505,520,332,549,409,248,279
2,0,403,350,526,293,419,387,381,342,548,229,323,468,458,390,287,305,361,433,272,233,307,356
2,0,351,350,283,444,329,394,235,378,517,425,424,293,332,319,360,374,261,473,388,378,143,435
2,0,433,350,426,646,536,359,312,465,510,323,492,239,477,272,461,424,378,207,550,326,507,95
2,0,448,350,290,319,613,487,220,467,416,192,520,325,491,283,458,335,298,494,583,288,481,256
2,0,436,350,298,204,565,402,483,272,453,363,227,534,365,462,419,409,549,427,398,531,570,368
2,0,390,350,720,238,266,261,439,364,235,471,405,412,443,483,507,524,320,410,197,438,439,249
3,1,375,450,376,335,372,426,319,424,381,352,261,455,476,305,518,513,345,341,413,427,242,282
3,0,400,342,419,477,493,270,518,332,346,337,348,428,262,228,407,179,417,447,367,347,337,410
2,1,400,490,509,425,583,507,540,426,337,590,359,488,440,245,343,394,426,489,401,433,318,578
3,1,392,450,495,406,402,486,467,453,442,177,431,581,385,359,459,493,288,499,522,265,340,498
3,0,400,290,384,330,531,306,360,142,419,87,469,375,536,308,303,413,388,397,437,324,390,278
3,1,392,450,355,292,524,502,381,677,393,410,276,550,377,347,580,513,337,460,405,477,356,587
3,0,400,338,473,417,501,291,589,118,308,217,357,431,277,301,434,422,431,211,368,401,456,314
3,1,379,450,328,452,448,598,351,457,255,615,310,657,305,521,316,363,417,452,449,487,288,400
3,0,400,341,299,347,496,396,422,464,426,226,305,393,334,494,440,373,295,136,364,294,392,286
2,1,400,480,480,405,283,375,268,513,383,433,422,506,404,456,152,201,435,400,400,601,266,503
3,1,396,450,604,369,462,473,437,461,402,419,492,560,428,571,343,589,486,487,401,476,266,464
3,0,400,301,511,308,415,294,195,366,497,471,309,233,450,288,322,397,482,181,505,411,391,419
3,1,369,450,342,501,215,493,449,441,398,498,273,387,308,314,333,459,87,360,348,488,378,293
