Configuration,TrueModelUpDown,TrueLocationP,TrueLocationQ,P0,Q0,P1,Q1,P2,Q2,P3,Q3,P4,Q4,P5,Q5,P6,Q6,P7,Q7,P8,Q8,P9,Q9
3,1,426,450,527,507,382,494,408,335,441,408,303,410,521,368,419,230,466,508,457,168,434,429
2,0,424,350,379,430,488,454,286,472,224,278,261,358,454,214,446,358,467,380,559,389,409,337
2,1,400,477,458,528,417,378,233,308,451,507,500,432,263,458,239,409,664,548,436,484,478,461
3,1,409,450,361,562,216,390,577,442,520,424,573,469,487,311,421,356,148,710,527,437,481,449
2,0,403,350,498,402,573,433,505,324,384,325,245,194,410,265,435,359,318,278,348,331,390,424
2,0,397,350,262,368,313,544,484,273,341,365,488,419,429,209,335,456,441,379,453,347,161,339
2,0,446,350,447,206,480,282,545,298,377,279,380,317,545,405,367,353,528,163,415,502,533,253
2,1,400,525,488,712,298,381,439,456,379,665,324,485,174,680,420,534,202,651,385,563,502,462
3,1,379,450,351,482,352,329,199,411,357,471,310,481,503,295,416,453,463,468,459,506,217,373
3,0,400,282,328,361,243,363,446,132,195,259,607,432,544,257,404,154,406,251,408,233,256,220
2,1,400,523,272,512,422,558,402,397,471,406,512,548,379,474,239,602,362,383,438,518,477,511
2,1,400,500,382,607,237,454,609,367,430,562,363,491,525,602,372,541,258,426,350,478,487,420
2,1,400,517,449,493,308,325,513,677,382,543,317,688,317,394,314,425,708,578,322,616,423,544
2,0,374,350,444,401,388,427,404,372,258,380,219,504,220,532,424,383,304,284,404,294,398,427
2,0,429,350,514,310,539,355,327,165,380,465,353,414,501,327,254,492,530,511,484,272,388,413
2,0,416,350,371,242,449,178,547,287,384,376,500,359,425,294,505,301,501,379,475,202,343,335
2,1,400,512,520,613,269,604,233,286,474,533,394,465,390,436,576,394,478,499,431,433,295,400
2,1,400,451,335,501,337,399,326,443,362,468,376,559,489,640,519,692,385,361,295,481,518,611
2,0,425,350,408,501,453,580,389,264,373,381,361,481,430,333,386,319,547,424,479,368,412,593
3,0,400,280,359,140,441,329,272,277,542,275,403,336,286,389,343,347,394,58,445,302,407,361
3,1,361,450,389,450,238,533,213,558,311,517,290,557,316,477,295,343,315,449,334,421,290,614
3,0,400,330,441,259,519,253,239,388,461,534,538,347,156,295,406,326,291,504,489,261,336,371
2,1,400,463,406,391,326,463,418,463,262,377,381,452,371,428,264,471,554,538,520,613,443,369
3,1,368,450,455,238,465,512,261,470,268,466,503,477,288,456,317,483,567,448,522,393,443,465
3,1,356,450,343,431,296,420,329,324,192,479,325,599,379,595,396,527,399,601,361,598,288,501
